pubmed - Cancer
year,count
2015,57096
2014,147988
2013,143968
2012,135576
2011,123820
2010,116080
2009,108312
2008,103563
2007,98760
2006,93647
2005,90614
2004,85513
2003,80825
2002,75536
2001,72446
2000,70629
1999,66729
1998,64510
1997,62502
1996,60967
1995,58509
1994,58017
1993,54918
1992,53297
1991,51349
1990,53193
1989,51756
1988,47759
1987,44875
1986,42899
1985,41740
1984,40170
1983,37335
1982,34852
1981,33119
1980,32306
1979,31242
1978,29447
1977,27558
1976,25904
1975,25335
1974,24134
1973,23196
1972,22572
1971,22016
1970,20971
1969,20558
1968,20338
1967,18716
1966,16685
1965,16944
1964,18652
1963,15532
1962,11408
1961,10486
1960,9554
1959,9580
1958,9162
1957,9550
1956,9448
1955,9716
1954,9065
1953,9004
1952,8749
1951,8071
1950,5767
1949,4293
1948,4703
1947,3952
1946,3015
1945,857
1944,36
1943,31
1942,30
1941,51
1940,38
1939,53
1938,62
1937,50
1936,63
1935,66
1934,60
1933,41
1932,51
1931,48
1930,51
1929,55
1928,52
1927,44
1926,43
1925,47
1924,35
1923,36
1922,36
1921,27
1920,25
1919,16
1918,16
1917,14
1916,28
1915,38
1914,40
1913,30
1912,40
1911,45
1910,27
1909,54
1908,22
1907,13
1906,18
1905,24
1904,18
1903,25
1902,16
1901,10
1900,10
1899,9
1898,10
1897,6
1896,5
1895,9
1894,8
1893,10
1892,12
1891,7
1890,7
1889,9
1888,4
1887,5
1886,3
1885,2
1884,3
1883,4
1882,2
1881,3
1880,2
1879,1
1878,1
1876,1
1875,1
1874,2
1872,3
1870,12
1869,1
1868,2
1867,4
1865,1
1862,2
1859,2
1858,1
1856,1
1852,4
1849,2
1848,1
1847,1
1844,2
1843,1
1842,1
1829,1
1823,2
1818,1

